name,category,description,auth_methods,self_serve,api_type,api_scope,mcp_available,buildable,blocker,evidence,toolkit_priority,integration_difficulty
Close,CRM and Sales,"The Close Developer Platform enables users and partners to build integrations, automate workflows, and extend Close's sales process and CRM functionalities.","API Key, OAuth2",Yes,REST + Webhooks,Broad,True,True,,https://developer.close.com,High,Medium
DealCloud,CRM and Sales,"DealCloud provides an API for managing data, schema, users, and files, including relationship intelligence, within its platform.","API Keys, Authorization Token",Yes,REST,Broad,True,True,Rate limits,https://api.docs.dealcloud.com,High,Medium
Zendesk,Support and Helpdesk,"Zendesk provides a comprehensive suite of APIs for ticketing, help center, AI agents, messaging, voice, live chat, and sales CRM functionalities to manage customer interactions.",UNKNOWN,Yes,REST + Webhooks,Broad,True,True,,https://developer.zendesk.com/api-reference,High,Medium
Pylon API,Customer Support,"Programmatic access to read and write data in Pylon for fetching customer information, issues, and creating issues",API tokens,Yes,REST,Admin,False,True,,https://docs.usepylon.com/pylon-docs/developer/api,Medium,Low
Help Scout,Customer Support,"Help Scout provides several tools for developers to make magic happen, including Apps, Beacon, Inbox API, Docs API, and Webhooks",,Yes,REST,"Inbox, Docs, and Customer Data",False,True,,https://developer.helpscout.com,Medium,Low
Gorgias,Customer Support,Integrate with Gorgias to support thousands of shop owners and grow your app audience,,true,REST,Public and Private apps,False,True,,https://developers.gorgias.com,medium,low
Gladly,Customer Service,"Gladly is a customer service platform that provides an embeddable chat UI for websites, allowing customers to search for answers or interact with support teams in real-time.",,Yes,JavaScript,Client-side,False,True,,https://developer.gladly.com/chat,,Medium
Lark,Communication,A platform for team collaboration and communication,OAuth 2.0,true,REST,Team collaboration and communication services,False,True,,https://open.larksuite.com,medium,low
Telegram Bot API,Social Media,The Telegram Bot API is an HTTP-based interface for building bots for Telegram.,Token-based authentication,Yes,REST,Public,False,True,,https://core.telegram.org/bots/api,High,Medium
LinkedIn Ads,Advertising,"Streamline campaign management, audience targeting, and track performance to optimize advertising efforts",OAuth,true,REST,Marketing,False,True,,https://learn.microsoft.com/linkedin/marketing,high,medium
Klaviyo,Marketing Automation,Klaviyo is a marketing automation platform that allows businesses to create personalized experiences for their customers,API Keys,true,REST,"Customer Data, Marketing Automation",False,True,,https://developers.klaviyo.com,medium,medium
Pinterest API,Social Media,"Pinterest API for integrating with Pinterest to manage ads, upload product feeds, track conversions, and more","Pinterest Conversions API, Pinterest Tag",true,REST,Public,False,True,,https://developers.pinterest.com,Medium,Medium
WooCommerce,E-commerce,A REST API for interacting with WooCommerce data,"REST API keys, OAuth 1.0a 'one-legged' authentication, HTTP Basic Auth",true,REST,WooCommerce data,False,True,,https://woocommerce.github.io/woocommerce-rest-api-docs,,
BigCommerce,Ecommerce,"BigCommerce is a commerce-centric company, platform, and set of retailer-facing SaaS products used to scale ecommerce businesses","API credentials, OAuth",true,REST and GraphQL,"Storefront, Admin, and Management APIs",False,True,,https://developer.bigcommerce.com/docs,,Medium
FanBasis,Payment Gateway,"FanBasis API for custom integrations with payment pages, subscriptions, and customer management",API Key,Yes,REST,Public,False,True,,https://apidocs.fan/#cover,Medium,Medium
Ahrefs,Marketing and Search Data,Access Ahrefs marketing and search data through APIs and developer tools to build custom integrations and workflows,"API keys, OAuth 2.0",true,REST API,Public,True,True,,https://ahrefs.com/api,High,Medium
Sherlock,OSINT Tool,Hunt down social media accounts by username across social networks,,false,,,False,True,,https://github.com/sherlock-project/sherlock,,
Clay,Developer Platform,"A platform for searching, running reusable logic, and reading table data programmatically",,true,REST,Public,True,True,,https://developers.clay.com,High,Medium
Vercel REST API,Cloud Platform,"The Vercel REST API allows for programmatic interaction with Vercel accounts, enabling actions such as deploying web applications, managing custom domains, and retrieving deployment information.",Bearer Token,true,REST,Account and Project Management,False,True,,https://vercel.com/docs/rest-api,high,medium
Supabase,Database and Backend as a Service,"Supabase provides a full Postgres database with Realtime functionality, database backups, extensions, and more, along with Auth, Storage, and Edge Functions","Email and Password, Passwordless, OAuth, Mobile Logins",Yes,"REST API, GraphQL API",Public,False,True,,https://supabase.com/docs,High,Medium
Sentry,Error Tracking and Monitoring,"The Sentry web API is used to access the Sentry platform programmatically, managing account-level resources and data",Authentication Token,Yes,REST,Public,False,True,,https://docs.sentry.io/api,High,Medium
Linear,Project Management,A platform for managing projects and workflows,"OAuth 2.0, Personal API keys",Yes,GraphQL,REST and GraphQL API for accessing and modifying data,False,True,,https://developers.linear.app,Medium,Medium
Jira,Project Management,A software development tool for issue tracking and project management,"OAuth, Basic Auth",true,REST,"Cloud, Data Center",False,True,,https://developer.atlassian.com,High,Medium
Asana,Project Management,"A platform for integrating tools, automating actions, and customizing workflows",Token,Yes,REST,Public,False,True,,https://developers.asana.com,High,Medium
